tuple_id,land_type,veg_class,irrigation
1,vegetationless_D,1,0
2,waterbody_G,0,0
3,horticultural_K,40,75
4,agricultural_L,10,0
5,agricultural_L,25,0
6,agricultural_L,30,0
7,agricultural_L,35,0
8,agricultural_L,40,0
9,agricultural_L,45,0
10,agricultural_L,45,50
11,agricultural_L,50,0
12,agricultural_L,50,100
13,agricultural_L,50,50
14,agricultural_L,55,75
15,agricultural_L,60,0
16,forested_W,0,0
