berlin_usage,group
10,g10-30
21,g10-30
22,g10-30
23,g10-30
30,g10-30
40,g40
50,g50
70,g70
80,g80
90,g90
60,g60
100,g100
101,g101
102,g102
110,g110
121,g121
122,g122
130,g130
140,g140
150,g150
160,g160
161,g161
162,g162
170,g170
171,g171
172,g172
173,g173
174,g174
180,g180
190,g190
200,g200
300,g300
